time,Bx,By,Bz,F
18759.15902777778,21022.0,1714.37,43993.33,48788.07879990562
18759.159722222223,21021.97,1714.66,43993.4,48788.139185221036
18759.160416666666,21021.94,1714.97,43993.42,48788.155189153236
18759.161111111112,21022.05,1714.96,43993.42,48788.20223476676
18759.161805555555,21021.96,1715.34,43993.41,48788.167796969996
18759.1625,21022.1,1715.48,43993.47,48788.287146417635
18759.163194444445,21022.13,1715.68,43993.58,48788.406295099456
18759.16388888889,21022.11,1715.88,43993.61,48788.43176264841
18759.164583333335,21022.3,1715.8,43993.64,48788.53786884374
18759.165277777778,21022.3,1715.95,43993.64,48788.543144288495
18759.16597222222,21022.45,1715.85,43993.75,48788.70344954352
18759.166666666668,21022.49,1715.84,43993.87,48788.82853976513
18759.16736111111,21022.55,1715.82,43993.9,48788.880741260095
18759.168055555554,21022.66,1715.65,43993.93,48788.94921232676
18759.16875,21022.64,1715.6,43994.01,48789.01097388325
18759.169444444444,21022.7,1715.53,43994.03,48789.05240022396
18759.17013888889,21022.89,1715.4,43994.15,48789.23790483512
18759.170833333334,21022.9,1715.43,43994.23,48789.315406016925
18759.171527777777,21022.9,1715.52,43994.21,48789.30053612677
18759.172222222223,21022.91,1715.87,43994.2,48789.308135748346
18759.172916666666,21022.84,1716.21,43994.25,48789.33501793399
18759.17361111111,21022.81,1716.5,43994.27,48789.35032749463
18759.174305555556,21022.67,1716.74,43994.25,48789.28041300671
18759.175,21022.75,1716.89,43994.4,48789.45542014791
18759.175694444446,21022.86,1717.13,43994.37,48789.484212414056
18759.17638888889,21022.93,1717.38,43994.36,48789.5141568237
18759.177083333332,21023.08,1717.29,43994.49,48789.69284583168
18759.17777777778,21023.14,1717.42,43994.64,48789.85853274838
18759.178472222222,21023.18,1717.51,43994.61,48789.8518850447
18759.179166666665,21023.29,1717.35,43994.7,48789.97480565654
18759.17986111111,21023.4,1717.46,43994.75,48790.07116180607
18759.180555555555,21023.45,1717.43,43994.83,48790.163787758494
18759.18125,21023.5,1717.5,43994.92,48790.26895095373
18759.181944444445,21023.49,1717.49,43994.96,48790.30035859382
18759.182638888888,21023.52,1717.56,43995.01,48790.360835354564
18759.183333333334,21023.56,1717.63,43995.1,48790.46168976576
18759.184027777777,21023.63,1717.77,43995.11,48790.50579838151
18759.18472222222,21023.69,1717.99,43995.04,48790.47627824307
18759.185416666667,21023.78,1718.24,43995.08,48790.55993112193
18759.18611111111,21023.96,1718.26,43995.15,48790.70131727664
18759.186805555557,21023.97,1718.4,43995.21,48790.76465956442
18759.1875,21023.99,1718.58,43995.16,48790.73453189755
18759.188194444443,21023.94,1719.0,43995.09,48790.66466273748
18759.18888888889,21023.97,1719.48,43995.08,48790.68548645018
18759.189583333333,21024.01,1719.65,43995.1,48790.72674814959
18759.19027777778,21023.97,1719.63,43995.18,48790.78094404926
18759.190972222223,21023.82,1719.61,43995.23,48790.76068988267
18759.191666666666,21023.7,1719.81,43995.21,48790.69799736626
18759.192361111112,21023.53,1720.02,43995.25,48790.66821661495
18759.193055555555,21023.56,1720.15,43995.24,48790.67670932326
18759.19375,21023.55,1720.39,43995.25,48790.689879495454
18759.194444444445,21023.47,1720.72,43995.18,48790.60392526106
18759.19513888889,21023.33,1720.88,43995.23,48790.59432940124
18759.195833333335,21023.28,1721.15,43995.21,48790.56427450906
18759.196527777778,21023.24,1721.31,43995.25,48790.588752096446
18759.19722222222,21023.18,1721.29,43995.19,48790.50809033044
18759.197916666668,21023.12,1721.7,43995.2,48790.50572052313
18759.19861111111,21023.13,1722.05,43995.17,48790.4953298109
18759.199305555554,21023.21,1722.17,43995.23,48790.58813916779
18759.2,21023.34,1722.42,43995.18,48790.607893778084
18759.200694444444,21023.36,1722.33,43995.23,48790.65842014638
18759.20138888889,21023.2,1722.43,43995.33,48790.68317982236
18759.202083333334,21023.12,1722.38,43995.33,48790.64694393486
18759.202777777777,21023.02,1722.53,43995.35,48790.62718539084
18759.203472222223,21023.03,1722.53,43995.35,48790.63149421516
18759.204166666666,21023.1,1722.47,43995.36,48790.66855496551
18759.20486111111,21023.06,1722.53,43995.33,48790.62638636032
18759.205555555556,21022.9,1722.39,43995.35,48790.57053719089
18759.20625,21022.74,1722.87,43995.31,48790.48247497251
18759.206944444446,21022.67,1723.27,43995.15,48790.32216479309
18759.20763888889,21022.63,1723.4,43995.1,48790.26443550906
18759.208333333332,21022.62,1723.46,43995.07,48790.23519456429
18759.20902777778,21022.51,1723.43,43995.08,48790.19575561672
18759.209722222222,21022.47,1723.59,43995.03,48790.1390866013
18759.210416666665,21022.35,1723.43,43995.11,48790.15386734807
18759.21111111111,21022.4,1723.54,43995.11,48790.17929669556
18759.211805555555,21022.27,1723.43,43995.06,48790.074311497
18759.2125,21021.96,1723.94,43995.0,48789.90465624216
18759.213194444445,21021.83,1724.31,43994.78,48789.66333941443
18759.213888888888,21021.81,1724.88,43994.71,48789.61174957841
18759.214583333334,21021.75,1725.13,43994.68,48789.5676849242
18759.215277777777,21021.67,1725.31,43994.66,48789.52154613325
18759.21597222222,21021.64,1725.57,43994.59,48789.454694458305
18759.216666666667,21021.56,1725.89,43994.54,48789.38645788959
18759.21736111111,21021.45,1725.82,43994.55,48789.34560411116
18759.218055555557,21021.31,1725.85,43994.57,48789.30437937705
18759.21875,21021.38,1725.71,43994.58,48789.338604708515
18759.219444444443,21021.37,1725.86,43994.61,48789.366653694124
18759.22013888889,21021.28,1725.6,43994.64,48789.34573170663
18759.220833333333,21021.13,1725.63,43994.75,48789.381354310084
18759.22152777778,21020.94,1725.87,43994.61,48789.181739322084
18759.222222222223,21020.71,1726.13,43994.56,48789.046755133466
18759.222916666666,21020.41,1726.37,43994.51,48788.88090625875
18759.223611111112,21020.34,1726.24,43994.56,48788.8912340381
18759.224305555555,21020.24,1726.77,43994.5,48788.81280109714
18759.225,21019.93,1726.98,43994.44,48788.63256988148
18759.225694444445,21019.84,1726.98,43994.44,48788.59379465246
18759.22638888889,21019.75,1726.94,43994.46,48788.571638424706
18759.227083333335,21019.47,1727.17,43994.5,48788.495217005824
18759.227777777778,21019.33,1727.26,43994.51,48788.44710478701
18759.22847222222,21019.2,1727.22,43994.47,48788.35361179244
18759.229166666668,21019.05,1727.18,43994.52,48788.33265941049
18759.22986111111,21019.11,1727.22,43994.52,48788.359924790464
18759.230555555554,21018.93,1727.29,43994.57,48788.3299424555
18759.23125,21018.85,1727.03,43994.67,48788.376447185656
18759.231944444444,21019.01,1726.86,43994.71,48788.475430410814
18759.23263888889,21018.97,1726.94,43994.78,48788.524151411875
18759.233333333334,21018.81,1726.85,43994.85,48788.51515737182
18759.234027777777,21018.42,1727.19,43994.77,48788.28703639225
18759.234722222223,21018.21,1727.32,43994.77,48788.20116933396
18759.235416666666,21017.61,1727.71,43994.67,48787.86632314535
18759.23611111111,21017.24,1728.0,43994.54,48787.599972013384
18759.236805555556,21017.1,1728.25,43994.56,48787.56655200277
18759.2375,21016.9,1728.56,43994.47,48787.41021887204
18759.238194444446,21016.75,1728.66,43994.52,48787.394232409046
18759.23888888889,21016.65,1728.85,43994.52,48787.35788680711
