datetime,time,btot,bx,by,bz,density,speed,dst,kp
2023-02-16 15:53:00+00:00,738567.661806,12.64,-5.95,-10.83,1.9,7.0,434.0,4.0,1.92
2023-02-16 15:54:00+00:00,738567.6625,12.7,-7.27,-10.29,1.79,7.0,439.0,4.0,1.9
2023-02-16 15:55:00+00:00,738567.663194,12.78,-6.67,-10.55,2.79,7.0,440.0,4.0,1.88
2023-02-16 15:56:00+00:00,738567.663889,12.79,-7.54,-9.6,3.77,7.0,436.0,4.0,1.87
2023-02-16 15:57:00+00:00,738567.664583,12.38,-6.41,-8.66,5.11,8.0,438.0,4.0,1.85
2023-02-16 15:58:00+00:00,738567.665278,12.45,-4.66,-9.06,7.09,7.0,442.0,4.0,1.83
2023-02-16 15:59:00+00:00,738567.665972,11.98,-5.26,-7.17,7.49,7.0,439.0,4.0,1.82
2023-02-16 16:00:00+00:00,738567.666667,12.36,-6.47,-6.51,8.24,7.0,432.0,4.0,1.8
2023-02-16 16:01:00+00:00,738567.667361,12.49,-5.83,-7.56,8.02,7.0,435.0,4.0,1.81
2023-02-16 16:02:00+00:00,738567.668056,12.79,-6.61,-7.82,7.58,7.0,433.0,4.0,1.83
2023-02-16 16:03:00+00:00,738567.66875,12.8,-6.82,-7.4,7.92,7.0,430.0,4.0,1.84
2023-02-16 16:04:00+00:00,738567.669444,12.59,-7.33,-7.21,7.15,7.0,428.0,4.0,1.85
2023-02-16 16:05:00+00:00,738567.670139,12.18,-5.34,-7.03,8.29,7.0,433.0,5.0,1.87
2023-02-16 16:06:00+00:00,738567.670833,12.25,-5.52,-8.58,6.58,6.0,434.0,5.0,1.88
2023-02-16 16:07:00+00:00,738567.671528,12.07,-4.27,-10.23,4.57,6.0,436.0,5.0,1.89
2023-02-16 16:08:00+00:00,738567.672222,11.82,-5.39,-9.8,3.56,5.0,439.0,5.0,1.91
2023-02-16 16:09:00+00:00,738567.672917,11.76,-3.72,-9.96,4.02,5.0,444.0,5.0,1.92
